Link,Link-href,Description,Date Created,Author,TextField
Get ready for MAX Week! October 1 to 9,https://everconnect.foundever.com/everconnect/Article/Article/138261,,"Tuesday, May 4, 2021",Rafael C,null
Pioneer Coach October 28,https://everconnect.foundever.com/everconnect/Article/Article/136035,,"Tuesday, May 4, 2021",Rafael C,Position: Coach
Baguio Coach,https://everconnect.foundever.com/everconnect/Article/Article/136022,Do you have a knack for motivating people? Can you guide a team of tech support associates...,"Monday, July 5, 2021",Rafael C,Position: Coach
Associate Advisories,https://everconnect.foundever.com/everconnect/Article/Article/136819,,"Tuesday, May 4, 2021",Rafael C,Attachment: Payroll Technical Guidelines
Our [Brand] New Brand Message,https://everconnect.foundever.com/everconnect/Article/Article/88339,Notre [marque] nouveau message de marque,"Wednesday, August 3, 2022",Kim H,"In late 2019, through MAX Culture, we initiated a project to define a new brand message, developed in partnership with our associates around the globe. We know that a strong brand message—one that resonates with our people—drives a strong purpose for our associates around the globe. This brand message is part of our culture, just like our four core values. This is why we designed this brand message with our people."
Duo Token - Updated Login Process,https://everconnect.foundever.com/everconnect/Article/Article/80385,Sitel Group is changing from using the Duo App on your smart phone or a Duo verification p...,"Thursday, July 21, 2022",Kim H,The way you login to the Sitel Group network is about to change.
Introducing: Article Sentiment Feature,https://everconnect.foundever.com/everconnect/Article/Article/88258,Une nouvelle fonctionnalité de MaxConnect permettra aux collaborateurs de réagir aux artic...,"Tuesday, July 19, 2022",Kim H,"MAX Connect, as the name implies, is all about creating meaningful connections through technology and innovation. As we work towards giving our platform a broader scope of information, tools and features, we need to stay close to what our users are thinking and feeling. That's why as part of our new set of features for MAX Connect 1.1, we're giving our associates the ability to express their feelings about the content by using emoticons."
12.11 Pioneer_Coach,https://everconnect.foundever.com/everconnect/Article/Article/135983,,"Tuesday, May 4, 2021",Rafael C,Position: Coach
12.11 Pioneer_Operations Manager,https://everconnect.foundever.com/everconnect/Article/Article/135996,,"Tuesday, May 4, 2021",Rafael C,Position: Operations Manager
Eton Learning Specialist,https://everconnect.foundever.com/everconnect/Article/Article/135970,Are you an expert at making learning a fun experience for associates? Can you motivate the...,"Friday, June 11, 2021",Rafael C,Position: Learning Specialist
12.11 Pioneer_ Call Monitoring Specialist,https://everconnect.foundever.com/everconnect/Article/Article/135957,,"Tuesday, May 4, 2021",Rafael C,Position: Call Monitoring Specialist
04.08 Eton Senior Client Support Analyst,https://everconnect.foundever.com/everconnect/Article/Article/135836,,"Tuesday, May 4, 2021",Rafael C,Position: Senior Client Support Analyst
04.08 Eton Real Time Analyst,https://everconnect.foundever.com/everconnect/Article/Article/135810,,"Tuesday, May 4, 2021",Rafael C,Position: Real Time Analyst
Introducing Conversation at HeART,https://everconnect.foundever.com/everconnect/Article/Article/88244,Conversation at HeART is a Sitel® MAX initiative providing our employees with a blank canv...,"Tuesday, August 2, 2022",Kim H,Conversation at HeART is a Sitel® MAX initiative providing our employees with a blank canvas where they can illustrate and express their culture and diversity to Create Connection. Value Conversation.
Register now for the 1st Philippine Workplace Inclusion Forum on April 30,https://everconnect.foundever.com/everconnect/Article/Article/131482,,"Tuesday, May 4, 2021",Rafael C,
COVID-19 Associate Advisory  No. 54-041621: Updated COVID19 Safety Protocols for All Employees and New People Manager Courses on MyAcademy,https://everconnect.foundever.com/everconnect/Article/Article/137265,,"Tuesday, May 4, 2021",Rafael C,"To  :  All Sitel Associates in the Philippines
From : Pamela Donato, VP for Human Resources
Date  :   April 16, 2021
Subject : COVID-19 Associate Advisory  No. 54-041621: Updated COVID19 Safety Protocols for All Employees  and New People Manager Course"
04.19 Eton HR Generalist,https://everconnect.foundever.com/everconnect/Article/Article/135849,,"Tuesday, May 4, 2021",Rafael C,Position: HR Generalist
Run for Women Distance Challenge Leaderboard as of April 26,https://everconnect.foundever.com/everconnect/Article/Article/138494,,"Tuesday, May 4, 2021",Rafael C,"To close off the celebration of the International Women’s Month, the first distance challenge is Run for Women. The participants’ progress will be tracked through the United Heroes app"
COVID-19 Associate Advisory  No. 55-042621: New Daily Health Check Tool going live on May 1,https://everconnect.foundever.com/everconnect/Article/Article/137297,"On May 1, 2021, our new Daily Health Check (DHC) tool is going live. This is a more conven...","Wednesday, May 5, 2021",Rafael C,"To  :  All Sitel Associates in the Philippines
From : Corporate HR
Date  :   April 26, 2021
Subject : COVID-19 Associate Advisory  No. 55-042621: New Daily Health Check Tool going live on May 1"
MAX Day!,https://everconnect.foundever.com/everconnect/Article/Article/74927,Célébrons le 1er anniversaire de MAX!,"Wednesday, August 3, 2022",Kim H,"This year, MAX Day is a global event where all associates have a front row seat to see what Sitel Group – with support from the MAX Community – has accomplished since its inception on October 1, 2019."
